Id,Days,Date,Total Cases,Case Growth,Total Deaths,Death Growth,Recovered Cases,Recovery Rate
1,1,2020-01-30,1,0,0,0,0,0
2,2,2020-01-31,1,0,0,0,0,#DIV/0!
3,3,2020-02-01,1,0,0,0,0,#DIV/0!
4,4,2020-02-02,2,100,0,0,0,#DIV/0!
5,5,2020-02-03,3,50,0,0,0,#DIV/0!
6,6,2020-02-04,3,0,0,0,0,#DIV/0!
7,7,2020-02-05,3,0,0,0,0,#DIV/0!
8,8,2020-02-06,3,0,0,0,0,#DIV/0!
9,9,2020-02-07,3,0,0,0,0,#DIV/0!
10,10,2020-02-08,3,0,0,0,0,#DIV/0!
11,11,2020-02-09,3,0,0,0,0,#DIV/0!
12,12,2020-02-10,3,0,0,0,0,#DIV/0!
13,13,2020-02-11,3,0,0,0,0,#DIV/0!
14,14,2020-02-12,3,0,0,0,0,#DIV/0!
15,15,2020-02-13,3,0,0,0,0,#DIV/0!
16,16,2020-02-14,3,0,0,0,0,#DIV/0!
17,17,2020-02-15,3,0,0,0,0,#DIV/0!
18,18,2020-02-16,3,0,0,0,3,#DIV/0!
19,19,2020-02-17,3,0,0,0,3,0
20,20,2020-02-18,3,0,0,0,3,0
21,21,2020-02-19,3,0,0,0,3,0
22,22,2020-02-20,3,0,0,0,3,0
23,23,2020-02-21,3,0,0,0,3,0
24,24,2020-02-22,3,0,0,0,3,0
25,25,2020-02-23,3,0,0,0,3,0
26,26,2020-02-24,3,0,0,0,3,0
27,27,2020-02-25,3,0,0,0,3,0
28,28,2020-02-26,3,0,0,0,3,0
29,29,2020-02-27,3,0,0,0,3,0
30,30,2020-02-28,3,0,0,0,3,0
31,31,2020-02-29,3,0,0,0,3,0
32,32,2020-03-01,3,0,0,0,3,0
33,33,2020-03-02,5,66.67,0,0,3,0
34,34,2020-03-03,5,0,0,0,3,0
35,35,2020-03-04,28,460,0,0,3,0
36,36,2020-03-05,30,7.14,0,0,3,0
37,37,2020-03-06,31,3.33,0,0,3,0
38,38,2020-03-07,34,9.68,0,0,3,0
39,39,2020-03-08,39,14.71,0,0,3,0
40,40,2020-03-09,43,10.26,0,0,3,0
41,41,2020-03-10,56,30.23,0,0,4,33.33
42,42,2020-03-11,62,10.71,1,0,4,0
43,43,2020-03-12,73,17.74,1,0,4,0
44,44,2020-03-13,82,12.33,2,100,4,0
45,45,2020-03-14,102,24.39,2,0,4,0
46,46,2020-03-15,113,10.78,2,0,13,225
47,47,2020-03-16,119,5.31,2,0,13,0
48,48,2020-03-17,142,19.33,3,50,14,7.69
49,49,2020-03-18,156,9.86,3,0,14,0
50,50,2020-03-19,194,24.36,4,33.33,15,7.14
51,51,2020-03-20,244,25.77,5,25,20,33.33
52,52,2020-03-21,330,35.25,4,-20,23,15
53,53,2020-03-22,396,20,7,75,27,17.39
54,54,2020-03-23,499,26.01,10,42.86,27,0
55,55,2020-03-24,536,7.41,10,0,40,48.15
56,56,2020-03-25,657,22.57,12,20,43,7.5
57,57,2020-03-26,727,10.65,20,66.67,45,4.65
58,58,2020-03-27,887,22.01,20,0,73,62.22
59,59,2020-03-28,987,11.27,24,20,84,15.07
60,60,2020-03-29,1024,3.75,27,12.5,95,13.1
61,61,2020-03-30,1251,22.17,32,18.52,102,7.37
62,62,2020-03-31,1397,11.67,35,9.38,123,20.59
63,63,2020-04-01,1998,43.02,58,65.71,148,20.33
64,64,2020-04-02,2543,27.28,72,24.14,191,29.05
65,65,2020-04-03,2567,0.94,72,0,192,0.52
66,66,2020-04-04,3082,20.06,86,19.44,229,19.27
67,67,2020-04-05,3588,16.42,99,15.12,229,0
68,68,2020-04-06,4778,33.17,136,37.37,375,63.76
69,69,2020-04-07,5311,11.16,150,10.29,421,12.27
70,70,2020-04-08,5916,11.39,178,18.67,506,20.19
71,71,2020-04-09,6725,13.67,226,26.97,620,22.53
72,72,2020-04-10,7598,12.98,246,8.85,774,24.84
73,73,2020-04-11,8446,11.16,288,17.07,969,25.19
74,74,2020-04-12,9205,8.99,331,14.93,1080,11.46
75,75,2020-04-13,10453,13.56,358,8.16,1181,9.35
76,76,2020-04-14,11487,9.89,393,9.78,1359,15.07
77,77,2020-04-15,12322,7.27,405,3.05,1432,5.37
78,78,2020-04-16,13430,8.99,448,10.62,1768,23.46
79,79,2020-04-17,14352,6.87,486,8.48,2041,15.44
80,80,2020-04-18,15722,9.55,521,7.2,2463,20.68
81,81,2020-04-19,17615,12.04,559,7.29,2854,15.87
82,82,2020-04-20,18539,5.25,592,5.9,3273,14.68
83,83,2020-04-21,20080,8.31,645,8.95,3975,21.45
84,84,2020-04-22,21370,6.42,681,5.58,4370,9.94
85,85,2020-04-23,23077,7.99,721,5.87,5012,14.69
