Id,Days,Date,Total Cases,Case Growth,Total Deaths,Death Growth,Total Recoveries,Recovery Rate,Active Cases,Case Fatality Rate (CFR)
1,1,2020-01-30,1,0,0,0,0,0,1,0
2,2,2020-01-31,1,0,0,0,0,0,1,0
3,3,2020-02-01,1,0,0,0,0,0,1,0
4,4,2020-02-02,2,100,0,0,0,0,2,0
5,5,2020-02-03,3,50,0,0,0,0,3,0
6,6,2020-02-04,3,0,0,0,0,0,3,0
7,7,2020-02-05,3,0,0,0,0,0,3,0
8,8,2020-02-06,3,0,0,0,0,0,3,0
9,9,2020-02-07,3,0,0,0,0,0,3,0
10,10,2020-02-08,3,0,0,0,0,0,3,0
11,11,2020-02-09,3,0,0,0,0,0,3,0
12,12,2020-02-10,3,0,0,0,0,0,3,0
13,13,2020-02-11,3,0,0,0,0,0,3,0
14,14,2020-02-12,3,0,0,0,0,0,3,0
15,15,2020-02-13,3,0,0,0,0,0,3,0
16,16,2020-02-14,3,0,0,0,0,0,3,0
17,17,2020-02-15,3,0,0,0,0,0,3,0
18,18,2020-02-16,3,0,0,0,3,100,0,0
19,19,2020-02-17,3,0,0,0,3,100,0,0
20,20,2020-02-18,3,0,0,0,3,100,0,0
21,21,2020-02-19,3,0,0,0,3,100,0,0
22,22,2020-02-20,3,0,0,0,3,100,0,0
23,23,2020-02-21,3,0,0,0,3,100,0,0
24,24,2020-02-22,3,0,0,0,3,100,0,0
25,25,2020-02-23,3,0,0,0,3,100,0,0
26,26,2020-02-24,3,0,0,0,3,100,0,0
27,27,2020-02-25,3,0,0,0,3,100,0,0
28,28,2020-02-26,3,0,0,0,3,100,0,0
29,29,2020-02-27,3,0,0,0,3,100,0,0
30,30,2020-02-28,3,0,0,0,3,100,0,0
31,31,2020-02-29,3,0,0,0,3,100,0,0
32,32,2020-03-01,3,0,0,0,3,100,0,0
33,33,2020-03-02,5,66.67,0,0,3,60,2,0
34,34,2020-03-03,5,0,0,0,3,60,2,0
35,35,2020-03-04,28,460,0,0,3,10.71,25,0
36,36,2020-03-05,30,7.14,0,0,3,10,27,0
37,37,2020-03-06,31,3.33,0,0,3,9.68,28,0
38,38,2020-03-07,34,9.68,0,0,3,8.82,31,0
39,39,2020-03-08,39,14.71,0,0,3,7.69,36,0
40,40,2020-03-09,43,10.26,0,0,3,6.98,40,0
41,41,2020-03-10,56,30.23,0,0,4,7.14,52,0
42,42,2020-03-11,62,10.71,1,0,4,6.45,57,1.61
43,43,2020-03-12,73,17.74,1,0,4,5.48,68,1.37
44,44,2020-03-13,82,12.33,2,100,4,4.88,76,2.44
45,45,2020-03-14,102,24.39,2,0,4,3.92,96,1.96
46,46,2020-03-15,113,10.78,2,0,13,11.5,98,1.77
47,47,2020-03-16,119,5.31,2,0,13,10.92,104,1.68
48,48,2020-03-17,142,19.33,3,50,14,9.86,125,2.11
49,49,2020-03-18,156,9.86,3,0,14,8.97,139,1.92
50,50,2020-03-19,194,24.36,4,33.33,15,7.73,175,2.06
51,51,2020-03-20,244,25.77,5,25,20,8.2,219,2.05
52,52,2020-03-21,330,35.25,4,-20,23,6.97,303,1.21
53,53,2020-03-22,396,20,7,75,27,6.82,362,1.77
54,54,2020-03-23,499,26.01,10,42.86,34,6.81,455,2
55,55,2020-03-24,536,7.41,10,0,40,7.46,486,1.87
56,56,2020-03-25,657,22.57,12,20,43,6.54,602,1.83
57,57,2020-03-26,727,10.65,20,66.67,45,6.19,662,2.75
58,58,2020-03-27,887,22.01,20,0,73,8.23,794,2.25
59,59,2020-03-28,987,11.27,24,20,84,8.51,879,2.43
60,60,2020-03-29,1024,3.75,27,12.5,95,9.28,902,2.64
61,61,2020-03-30,1251,22.17,32,18.52,102,8.15,1117,2.56
62,62,2020-03-31,1397,11.67,35,9.38,123,8.8,1239,2.51
